단어 명,물리 명,영문 명,금칙어,분류어 여부,정의내용
F+4년도,FY4,FISCAL 4 YEAR,"F+4,F+4년,F4,F4년",,생략
F+5년도,FY5,FISCAL 5 YEAR,"F+5,F+5년,F5,F5년",,생략
F+6년도,FY6,FISCAL 6 YEAR,"F+6,F+6년,F6,F6년",,생략
F+7년도,FY7,FISCAL 7 YEAR,"F+7,F+7년,F7",,생략
F+8년도,FY8,FISCAL 8 YEAR,"F+8,F+8년,F8",,생략
F+9년도,FY9,FISCAL 9 YEAR,,,생략
F100E,F100E,F100 ENGINE,,,생략
F-10년도,FYM10,FISCAL -10 YEAR,,,생략
F15K,F15K,F15-K AIRCRAFT,,,생략
F-1년도,FYM1,FISCAL -1 YEAR,"F-1,F-1년",,생략
F-2년도,FYM2,FISCAL -2 YEAR,"F-2,F-2년",,생략
F-3년도,FYM3,FISCAL -3 YEAR,"F-3,F-3년",,생략
F-4년도,FYM4,FISCAL -4 YEAR,"F-4,F-4년",,생략
F-5년도,FYM5,FISCAL -5 YEAR,"F-5,F-5년",,생략
F-6년도,FYM6,FISCAL -6 YEAR,"F-6,F-6년",,생략
F-7년도,FYM7,FISCAL -7 YEAR,"F-7,F-7년",,생략
F-8년도,FYM8,FISCAL -8 YEAR,,,생략
F-9년도,FYM9,FISCAL -9 YEAR,,,생략
FA50,FA50,FA-50 AIRCRAFT,,,생략
FACC표준,FACCSTD,FEATURE AND ATTRIBUTE CODING CATALOGUE STANDARD,,,생략
FAQ,FAQ,FREQUENTLY ASKED QUESTIONS,,,생략
FCR검사,FCREXAM,FCR EXAMINATION,,,생략
FIIG,FIIG,FEDERAL ITEM IDENTIFICATION GUIDE,,,생략
FIIG번호,FIIGNO,FEDERAL ITEM IDENTIFICATION GUIDE NUMBER,,분류어,생략
FIX,FIX,FIX,,,생략
FMS물자인도명세서,FMSDL,FOREIGN MILITARY SALES DELIVERY LISTING,"FMS D/L,FMS DL",,생략
FNORS,FNORS,FUNCTIONING NOT OPERATIONALLY READY FOR SUPPLY,,,생략
FOD,FOD,FOREIGN OBJECT DAMAGE,외부물체로인한파손,,생략
FORMMIS,FORMMIS,FORMMIS,,,생략
FTP,FTP,FILE TRANSFER PROTOCOL,,,생략
F년도,FY,FISCAL YEAR,"회계년도,F년,회계연도,F0,F0년",,생략
F시,FHOUR,F-HOUR,"F-HOUR,개시기준시간",,생략
F표적,TGTF,TARGET F,,,생략
F학점,FGRD,F GRADE,학점F,,생략
GCS,GCS,GUIDANCE CONTROL SECTION,,,생략
GEM,GEM,GEM,,,생략
GENTEXT,GENTXT,GENTEXT,,,생략
GIS,GIS,GEOGRAPHIC INFORMATION SYSTEM,,,생략
GNORS,GNORS,GROUNDED NOT OPERATIONALLY READY FOR SUPPLY,G-NORS,,생략
GROSS결과,GRRSLT,GROSS RESULT,,,생략
GTT,GTT,GUTTA,,,생략
G표적,TGTG,TARGET G,,,생략
H+1시,HP1,H-HOUR + 1,,,생략
H+24시,HP24,H-HOUR + 24,,,생략
H+2시,HP2,H-HOUR + 2,,,생략
H+48시,HP48,H-HOUR + 48,,,생략
H+72시,HP72,H-HOUR + 72,,,생략
H+96시,HP96,H-HOUR + 96,,,생략
H-12시,HM12,H-HOUR - 12,,,생략
H-24시,HM24,H-HOUR - 24,H24,,생략
H-2시,HM2,H-HOUR - 2,,,생략
H-4시,HM4,H-HOUR - 4,,,생략
H-8시,HM8,H-HOUR - 8,,,생략
HBSAB,HBSAB,HBSAB,,,생략
HBSAG,HBSAG,HBSAG,,,생략
HCCS,HCCS,HYUNMU COMMAND CONTROL SYSTEM,,,생략
HELPDESK,HLPDSK,HELPDESK,,,생략
HEXA,HEX,HEXADECIMAL,,,생략
HIV,HIV,HUMAN IMMUNODEFICINCY VIRUS,,,생략
HLIS,HLIS,H-LIS,,,생략
HPA,HPA,HECTOPASCAL,,,생략
HSK번호,HSKNO,HARMONIZED SYSTEM OF KOREA NUMBER,,분류어,생략
HTML,HTML,HYPERTEXT MARKUP LANGUAGE,,,생략
HTTP,HTTP,Hypertext Transfer Protocol,,,생략
HW자원,HDWRSC,HARDWARE RESOURCE,,,생략
H시,HHOUR,H-HOUR,"HOUR,H-HOUR,작전개시시간",,생략
H표적,TGTH,TARGET H,,,생략
ID,ID,IDENTIFICATION NUMBER,아이디,분류어,생략
