단어 명,물리 명,영문 명,금칙어,분류어 여부,정의내용
전속일자,TRSFRDT,TRANSFERENCE DATE,전속일,,생략
전속파견비대상자구분코드,TDETPDCD,TRANSFERENCE DISPATCH EXPENSE TARGETED PERSON DIVISION CODE,,분류어,생략
전송,TRSMSSN,TRANSMISSION,,,생략
전송로,TRSMLNE,TRANSMIT LINE,,,생략
전송일자,TRSDT,TRANSMISSION DATE,전송일,,생략
전송자,TRNSMT,TRANSMITTER,,,생략
전수검사,TOTINSP,TOTAL INSPECTION,,,생략
전술,TAC,TACTICS,TAC,,생략
전술군수,TCLG,TACTICAL LOGISTICS,,,생략
전술기,TCTARC,TACTICAL AIRCRAFT,,,생략
전술디지털정보연결망,TADIL,TACTICAL DIGITAL INFORMATION LINK,,,생략
전술모드,TCTCM,TACTICAL MODE,,,생략
전술상중요표적,TCSFT,TACTICALLY SIGNIFICANT TRACK,,,생략
전술상황전시,TCTDP,TACTICAL DISPLAY,,,생략
전술자료처리기,TDPRC,TACTICAL DATA PROCESSOR,,,생략
전술자재,TCMTR,TACTICAL MATERIALS,,,생략
전술적,TCTCL,TACTICAL,,,생략
전술조치선,TAL,TACTICAL ACTION LINE,,,생략
전술종합정보통신체계,TICN,TACTICAL INFORMATION COMMUNICATION NETWORK,,,생략
전술지원소,TSC,TACTICAL SUPPORT CENTER,,,생략
전술지휘통제체계,C4I,COMMAND CONTROL COMMUNICATION COMPUTER AND INTELLIGENCE,C4I,,생략
전술탄도유도탄,TBM,TACTICAL BALLISTIC MISSILE,"TBM,전술탄도미사일",,생략
전술탄도유도탄유형코드,TBMTYPECD,TACTICAL BALLISTIC MISSILE TYPE CODE,,분류어,생략
전술탄도유도탄확장코드,TBMEXTSNCD,TACTICAL BALLISTIC MISSILE  EXTENSION CODE,,분류어,생략
전술통제관,TCD,TACTICAL CONTROL DIRECTOR,,,생략
전술통제모듈,MCT,MODULAR CONTROL TACTICAL,,,생략
전술표적,TT,TACTICAL TARGET,,,생략
전술항공,TTAIR,TACTICAL AIR,,,생략
전술항공작전기지,TTHSPR,TACTICS FLIGHT BASE OF OPERATIONS,,,생략
전술항공통제반,TACP,TACTICAL AIR CONTROL PARTY,TACP,,생략
전술항공통제정비운영요원,ROMAD,RADIO OPERATION MAINTENANCE AND DRIVER,,,생략
전술항공화력,TTAFP,TACTICAL AIR FIRE POWER,,,생략
전술항법장치,TACAN,TACTICAL AIR NAVIGATION,"태켄,TACAN,전술공중항법장비,전술항법",,생략
전술훈련,TCTR,TACTICAL TRAINING,,,생략
전시,EXHBT,EXHIBIT,디스플레이,,생략
전시,WRTM,WARTIME,,,생략
전시개편유형코드,WTRORGTPCD,WARTIME REORGANIZATION TYPE CODE,,분류어,생략
전시군구분코드,WMICD,WARTIME MILITARY INDICATOR CODE,,분류어,생략
전시근로소집,WTLSMOB,WAR TIME LABOUR SERVICE MOBILIZATION,,,생략
전시근로자구분코드,WRTWKRDVCD,WARTIME WORKER DIVISION CODE,,분류어,생략
전시기본품목,WRTBSCITM,WARTIME BASIC ITEM,,,생략
전시단가신분그룹상세코드,WRUPSPGDCD,WARTIME UNIT PRICE SOCIAL POSITION GROUP DETAIL CODE,,분류어,생략
전시단가신분그룹코드,WRUPSPGCD,WARTIME UNIT PRICE SOCIAL POSITION GROUP CODE,,분류어,생략
전시단계번호,WRTMSTPNO,WARTIME STEP NUMBER,,,생략
전시동원,WTMB,WARTIME MOBILIZATION,,,생략
전시부대계획,WUNTPLN,WARTIME UNIT PLAN,,,생략
전시부대계획서,WUNTPLDOC,WARTIME UNIT PLANNING DOCUMENT,,,생략
전시부대급여매체,WBUPMD,WARTIME BRANCE UNIT PAY MEDIA,,,생략
전시부대확장계획,WUNTXPLN,WARTIME UNIT EXTENSION PLAN,,,생략
전시부대확장계획서,WUNTXPLDOC,WARTIME UNIT EXTENSION PLANNING DOCUMENT,,,생략
전시부대확장계획안,WUNTXPLI,WARTIME UNIT EXTENSION PLANNING IDEA,,,생략
전시소모율,WCR,WARTIME CONSUMPTION RATE,,,생략
전시소요,WTRQM,WARTIME REQUIREMENT,,,생략
전시연금지역코드,WRPRCD,WARTIME PENSION REGION CODE,,분류어,생략
전시연금코드,WRPCD,WARTIME PENSION CODE,,분류어,생략
전시연합합동이동관리계획서,WMMP,WARTIME COMBINED AND JOINT MOVEMENT MANAGEMENT PLAN,,,생략
전시예산,WARBGT,WAR BUDGET,,,생략
전시예산배정,WBA,WARTIME BUDGET APPORTIONMENT,,,생략
전시완편명부,WCOR,WAR COMPLETE ORGANIZATION ROSTER,,,생략
전시외국군동맹국표준지원제도,WSSFAF,WARTIME STANDARD SUPPORT FOR FOREIGN ARMED FORCES,,,생략
전시이동계획서,WMP,WARTIME MOVEMENT PROGRAM,,,생략
전시인력운영계획,WMOP,WARTIME MANPOWER OPERATION PLAN,,,생략
전시주둔국지원,WHNS,WARTIME HOST NATION SUPPORT,,,생략
전시중앙급여매체,WCUPMD,WARTIME CENTER UNIT PAY MEDIA,,,생략
전시탄약상태코드,WACCD,WARTIME AMMUNITION CONDITION CODE,,분류어,생략
전시통합수송지원계획서,WCTSP,WARTIME CONSOLIDATED TRANSPORTATION SUPPORT PLAN,,,생략
전시파손항공기수리,ABDR,AIRCRAFT BATTLE DAMAGE REPAIR,ABDR,,생략
전시편제,WREST,WAR ESTABLISHMENT,,,생략
전시품목번호,WTITMNO,WARTIME ITEM NUMBER,,분류어,생략
전신,WHLBD,WHOLE BODY,,,생략
전신마취,GNRANTH,GENERAL ANESTHESIA,,,생략
전신주,TELPHPL,TELEPHONE POLE,,,생략
전신환,TLGMNORD,TELEGRAPH MONEY ORDER,,,생략
전신환매도율,TTSR,TELEGRAPH TRANSFER SELLING RATE,,,생략
전신환매입률,TTBR,TELEGRAPH TRANSFER BUYING RATE,전산환매입율,,생략
전실,CHGRM,CHANGE ROOM,,,생략
전압,VLTG,VOLTAGE,,분류어,생략
전압계,VOLMTR,VOLTMETER,,,생략
전역,TRNSF,TRANSFER,,,생략
전역고유식별자,GUID,GLOBALLY UNIQUE INDENTIFICATION,GUID,분류어,생략
전역근거법령조번호,TBSANO,TRANSFER BASIS STATUTE ARTICLE NUMBER,,분류어,생략
전역근거법령항번호,TBSPNO,TRANSFER BASIS STATUTE PARAGRAPH NUMBER,,분류어,생략
전역근거법령호번호,TBSINO,TRANSFER BASIS STATUTE ISSUE NUMBER,,분류어,생략
전역미사일방어,TMD,THEATER MISSILE DEFENSE,전구유도탄방어,,생략
전역사유코드,TRCD,TRANSFER REASON CODE,,분류어,생략
전역여비,TREXPTR,TRAVELING EXPENSES FOR TRANSFER,전역비,,생략
전역일자,TRNSFDT,TRANSFER DATE,"전역일,제대일,제대일자",,생략
전역자,TRSFPSN,TRANSFER PERSON,,,생략
전역증서,CODFMS,CERTIFICATE OF DISCHARGE FROM MILITARY SERVICE,전역증,,생략
전역증서번호,CODFMSNO,CERTIFICATE OF DISCHARGE FROM MILITARY SERVICE NUMBER,,분류어,생략
전역지원서,TRWAPN,TRANSFER WRITTEN APPLICATION,,,생략
전열기,ELTHTR,ELECTRIC HEATER,,,생략
전염병,CMCDS,COMMUNICABLE DISEASE,,,생략
전용,DVRSN,DIVERSION,,,생략
전용,EXUSE,EXCLUSIVE USE,,,생략
전용면적,EXAR,EXCLUSIVE AREA,,,생략
전용서식,ESVS,EXCLUSIVE USE FORM,,,생략
전용선로,PRVLN,PRIVATE LINE,,,생략
전용실,STTRM,STATEROOM,,,생략
전용회선,LLN,LEASED LINE,,,생략
전원,EVRYONE,EVERYONE,,,생략
전원,PWSPL,POWER SUPPLY,,,생략
전원공급,ELTPWSPL,ELECTRIC POWER SUPPLY,,,생략
전월,PMON,PREVIOUS MONTHS,,,생략
전위,ELCPTT,ELECTRIC POTENTIAL,,,생략
전이,TRNSFRC,TRANSFERENCE,,,생략
전이한계,TRSFLMT,TRANSFER LIMIT,,,생략
전일,PDAY,PREVIOUS DAY,"어제,전날",,생략
전일제,FLTMSYS,FULL TIME SYSTEM,,,생략
전임,FLTMSRV,FULL TIME SERVICE,,,생략
전임자,PRDCSR,PREDECESSOR,,,생략
전입,MVGIN,MOVING IN,파입,,생략
전입일자,MVGINDT,MOVING IN DATE,"파입일자,파입일,전입일",,생략
전입자,MVINNM,MOVING IN MAN,,,생략
전입전출코드,MVGIOCD,MOVING IN OUT CODE,,분류어,생략
전자,ELCTR,ELECTRONIC,,,생략
전자감시,ELTSVL,ELECTRONIC SURVEILLANCE,"ESM,전자지원책,전자전지원책",,생략
전자개표,BCNTSYS,BALLOT COUNTING SYSTEM,,,생략
전자검표기,BVRFSYS,BALLOT VERIFICATION SYSTEM,,,생략
전자결재,ELCAPRV,ELECTRONIC APPROVAL,,,생략
전자고지,ELCNTC,ELECTRONIC NOTICE,,,생략
전자공격,ELATK,ELECTRONIC ATTACK,"EA,전자전공격",,생략
전자공격방해유형코드,EADSTBCTYPCD,ELECTRONIC ATTACK DISTURBANCE TYPE CODE,,분류어,생략
전자공격방해주파수대역유형코드,ELADIFRBTCD,ELECTRONIC ATTACK DISTURBANCE FREQUENCY BAND TYPE CODE,,분류어,생략
전자공무원증,EPSPC,ELECTRONIC PUBLIC SERVICE PERSONNEL IDENTIFICATION NUMBER CARD,,,생략
전자관인,ERNCSL,ELECTRON OFFICIAL SEAL,,,생략
전자기,ELCTM,ELECTROMAGNETISM,,,생략
전자기방해전자기파내부간섭,EMI,ELECTROMAGNETIC INTERFERENCE,,,생략
전자기파상호간섭전자환경적합성,EMC,ELECTROMAGNETIC COMPATIBILITY,,,생략
전자납부,ELCPAY,ELECTRONIC PAYMENT,,,생략
전자납부번호,ELCPAYNO,ELECTRONIC PAYMENT NUMBER,,분류어,생략
전자문서,ELCDOC,ELECTRONIC DOCUMENTS,,,생략
전자문서관리시스템,EDMS,ELECTRONIC DOCUMENT MANAGEMENT SYSTEM,EDMS,,생략
전자문서교환,EDI,ELECTRONIC DATA INTERCHANGE,EDI,,생략
전자문서시스템,ECCST,ELECTRONIC DOCUMENT SYSTEM,,,생략
전자문자서명,ETCCS,ELECTRONIC DOCUMENT SIGN,,,생략
전자방해방어책,ECCM,ELECTRONIC COUNTER COUNTER MEASURE,,,생략
전자방해책,ECM,ELECTRONIC COUNTER MEASURE,,,생략
전자보호,EP,ELECTRONIC PROTECTION,,,생략
전자부호,ELCSGN,ELECTRONIC SIGN,,,생략
전자상거래,EC,ELECTRONIC COMMERCE,EC,,생략
전자서명,ELCSIGN,ELECTRONIC SIGNATURE,,,생략
전자식,ELCTRNC,ELECTRONIC,,,생략
전자식기술교범,IETM,INTERACTIVE ELECTRICAL TECHNICAL MANUAL,,,생략
전자이미지관인,ECNSL,ELECTRON IMAGE OFFICIAL SEAL,,,생략
전자이미지서명,ERSNT,ELECTRON IMAGE SIGNATURE,,,생략
전자입찰,ELCBD,ELECTRONIC BIDDING,,,생략
전자자금이체,EFT,ELECTRONIC FUNDS TRANSFER,,,생략
전자장비식별지침,EPL,ELECTRONIC PULSE LIST,EPL,,생략
전자전,EW,ELECTRONIC WARFARE,,,생략
전자전기,EWAIR,ELECTRONIC WARFARE AIRCRAFT,,,생략
전자전보고서유형코드,EWRPRTTYCD,ELECTRONIC WARFARE REPORT TYPE CODE,,분류어,생략
전자전위협도,EWTL,ELECTRONIC WARFARE THREAT LEVEL,,,생략
전자전유효범위구분코드,EWEFTVSCOPCD,ELECTRONIC WARFARE EFFECTIVENESS SCOPE SECTION CODE,,분류어,생략
전자전지원,EWS,ELECTRONIC WARFARE SUPPORT,ES,,생략
전자전지원자산번호,EWSANO,ELECTRONIC WARFARE SUPPORT ASSETS NUMBER,,,생략
전자전투,ELCBT,ELECTRONIC COMBAT,,,생략
전자정보,ELI,ELECTRONIC INFORMATION,,,생략
전자정부,EGOV,E-GOVERNMENT,,,생략
전자지갑,ERNRS,ELECTRONIC PURSE,,,생략
전자지원,ELS,ELECTRONIC SUPPORT,,,생략
전자지원및전자공격,EWSEA,ELECTRONIC WARFARE SUPPORT AND ELECTRONIC ATTACK,,,생략
전자청구지불시스템,EBPP,ELECTRONIC BILL PRESENTMENT AND PAYMENT,EBPP,,생략
전자투표,ECRC,ELECTRONIC VOTING,,,생략
전자파,ELCWV,ELECTRONIC WAVE,,,생략
전자파목록관리번호,EWCMNO,ELECTRONIC WAVE CATALOGUE MANAGEMENT NUMBER,,분류어,생략
전자파주사형태코드,ELCWVSCTPCD,ELECTRONIC WAVE SCAN TYPE CODE,,분류어,생략
전자화폐,ETRCSH,ELECTRONIC CASH,,,생략
전작,FRMRW,FORMER WORK,,,생략
전장,BTFLD,BATTLEFIELD,,,생략
전장,TOTLEN,TOTAL LENGTH,,,생략
전장관리정보체계,BMS,BATTLE MANAGEMENT SYSTEM,,,생략
전장관리정보체계유종코드,BMSOILTPCD,BATTLE MANAGEMENT SYSTEM OIL TYPE CODE,,분류어,생략
전장기능,BTFFC,BATTLEFIELD FUNCTION,,,생략
전장분류코드,BTCLCD,BATTLEFIELD CLASSIFICATION CODE,,분류어,생략
전장순환통제,BCC,BATTLEFIELD CIRCULATION CONTROL,,,생략
전장장비연동ID,BTLEQITCNTID,BATTLEFIELD EQUIPMENT INTERCONNECTION IDENTIFICATION NUMBER,,분류어,생략
전장정보분석,IPB,INTELLIGENCE PREPARATION OF THE BATTLEFIELD,IPB,,생략
전재,WRDMG,WAR DAMAGE,,,생략
전재,TRFR,TRANSFER,,,생략
전재민,WARVT,WAR VICTIM,,,생략
전쟁,WAR,WAR,,,생략
전쟁물자소요,WMR,WAR MATERIEL REQUIREMENT,,,생략
전쟁법,LWFR,LAWS OF WAR,,,생략
전쟁예비량,WR,WAR RESERVE,전투예비량,,생략
전쟁예비물자,WRM,WAR RESERVE MATERIAL,"WRM,전쟁준비물자",,생략
전쟁지도,DOW,DIRECTION OF WAR,,,생략
전쟁지속능력,WCA,WAR CONTINUANCE ABILITY,,,생략
전전년도,YRBFLST,THE YEAR BEFORE LAST,"전전년,재작년",,생략
전전월,MNBFLST,THE MONTH BEFORE LAST,,,생략
전정,EMTR,EMITTER,,,생략
전정부호,EMTRSGN,EMITTER SIGN,,,생략
전주,ELTPL,ELECTRIC POLE,,,생략
전직,CHGEMP,CHANGE OF EMPLOYMENT,,,생략
전직지원교육,CESEDU,CHANGE OF EMPLOYMENT SUPPORT EDUCATION,,,생략
전진,ADVNCE,ADVANCE,,,생략
전진속도,SOA,SPEED OF ADVANCE,,,생략
전질,SUBPLDGE,SUB-PLEDGE,,,생략
전차,TANK,TANK,탱크,,생략
전차금,WSDC,WAGES IN ADVANCE,,,생략
전철,ELTRLWY,ELECTRIC RAILWAY,전기철도,,생략
전체,WHL,WHOLE,,,생략
전초,OUTPST,OUT POST,,,생략
전출,MVOUT,MOVING OUT,,,생략
전출일자,MVOUTDT,MOVING OUT DATE,전출일,,생략
전출입,MVIO,MOVE IN AND OUT,,,생략
전출입일자,MVIODT,MOVE IN AND OUT DATE,전출입일,,생략
전출자,MVOTNM,MOVING OUT MAN,,,생략
전출처,POMO,PLACE OF MOVING OUT,,,생략
전탐초소,RAS,RADAR SITE,,,생략
전투,CBT,COMBAT,,,생략
전투경찰,RTPLC,RIOT POLICE,,,생략
전투관리체계,CMSYS,COMBAT MANAGEMENT SYSTEM,,,생략
전투근무지원,CSSPT,COMBAT SERVICE SUPPORT,"전근,전투근무",,생략
전투근무지원실,CSSC,COMBAT SERVICE SUPPORT CENTER,,,생략
전투기,CBFTR,COMBAT FIGHTER,,,생략
전투기지원항공기구분코드,CBFSADVSCD,COMBAT FIGHTER SUPPORTING AIRCRAFT DIVISION CODE,,분류어,생략
전투긴요수리부속품,CCRP,COMBAT CRITICAL REPAIR PARTS,,,생략
전투긴요품목,CEI,COMBAT ESSENTIAL ITEM,,,생략
전투력,CBPW,COMBAT POWER,,,생략
전투력복원,ROCP,RESTORATION OF COMBAT POWER,,,생략
전투력증강,FEH,FORCE ENHANCEMENT,FMP,,생략
전투력평가성분작전코드,CPECOCD,COMBAT POWER EVEAL COMPONENT OPERATION CODE,,분류어,생략
전투모,FLDCAP,FIELD CAP,,,생략
전투모의센터,BSCT,BATTLE SIMULATION CENTER,,,생략
전투복,BDU,BATTLE DRESS UNIFORM,,,생략
전투서열,OB,ORDER OF BATTLE,OB,,생략
전투서열목록,OBLST,ORDER OF BATTLE LIST,,,생략
전투서열유형코드,OBTYPECD,ORDER OF BATTLE TYPE CODE,,분류어,생략
전투서열책자번호,OBBNO,ORDER OF BATTLE BOOKLET NUMBER,,분류어,생략
전투손실,CC,COMBAT CONSUMPTION,,,생략
전투스트레스,CBTSTRSS,COMBAT STRESS,,,생략
전투식량,MRE,MEAL READY TO EAT,,,생략
전투실험,WRFEXP,WARFIGHTING EXPERIMENTATION,,,생략
전투예비유류,CROIL,COMBAT RESERVE OIL,,,생략
전투예비재고,CRSTCK,COMBAT RESERVE STOCK,,,생략
전투예비탄약,CRA,COMBAT RESERVE AMMUNITION,,,생략
전투예비품목,CRITM,COMBAT RESERVE ITEM,,,생략
전투용,FCBT,FOR COMBAT,,,생략
전투작전처장,CCO,CHIEF OF COMBAT OPERATION,,,생략
전투준비태세,CBRDN,COMBAT READINESS,,,생략
전투지경선,BNDRY,BOUNDARY,,,생략
전투지역전단,FEBA,FORWARD EDGE OF THE BATTLE AREA,FEBA,,생략
전투지휘훈련,BCTP,BATTLE COMMAND TRAINING PROGRAM,,,생략
전투진지,BTLPST,BATTLE POSITION,,,생략
전투첩보,CBINF,COMBAT INFORMATION,,,생략
전투체계유형코드,COMBSYSTYPCD,COMBAT SYSTEM TYPE CODE,,분류어,생략
전투치중대,CBTRN,COMBAT TRAIN,,,생략
전투탄,CBAMN,COMBAT AMMUNITION,,,생략
전투통제반,CCT,COMBAT CONTROL TEAM,,,생략
전투편성,CBORG,COMBAT ORGANIZATION,,,생략
전투편성기구도일련번호,COOCSNO,COMBAT ORGANIZATION ORGANIZATION CHART SERIAL NUMBER,,분류어,생략
전투편성표,COCO,CHART OF COMBAT ORGANIZATION,,,생략
전투피해,BDB,BATTLE DAMAGE,,,생략
전투피해평가,BDA,BATTLE DAMAGE ASSESSMENT,BDA,,생략
전투피해평가단계코드,BDASTCD,BATTLE DAMAGE ASSESSMENT STEP CODE,,분류어,생략
전투피해평가보고식별번호,BDARINO,BATTLE DAMAGE ASSESSMENT REPORT IDENTIFICATION NUMBER,,분류어,생략
전투피해평가보고유형코드,BDARPTYPECD,BATTLE DAMAGE ASSESSMENT REPORT TYPE CODE,,분류어,생략
전투피해평가요약,BDASUM,BATTLE DAMAGE ASSESSMENT SUMMARY,BDASUM,,생략
전투피해평가요약보고식별번호,BDASUMRINO,BATTLE DAMAGE ASSESSMENT SUMMARY REPORT IDENTIFICATION NUMBER,,분류어,생략
전투하중,CBTLOAD,COMBAT LOAD,,,생략
전투화,CBTSHS,COMBAT SHOES,군화,,생략
전투휴대량,CBTLD,COMBAT LOAD,,,생략
전파,RDWV,RADIO WAVE,,,생략
전파,DSMT,DISSEMINATION,,,생략
전파,PROPGTN,PROPAGATION,,,생략
전파관리소,RMO,RADIO MANAGEMENT OFFICE,,,생략
전파방해,JAM,JAMMING,,,생략
전파방해신호,JMSTR,JAMMING STROBE,,,생략
전파보호시간구분코드,RDWVPRTCTMCD,RADIO WAVE PROTECTION TIME SECTION CODE,,분류어,생략
전파세,RWTAX,RADIO WAVE TAX,,,생략
전평시,WTPT,WARTIME AND PEACETIME,전/평시,,생략
전평시구분코드,WTPTDVCD,WARTIME AND PEACETIME DIVISION CODE,,분류어,생략
전폭,FULWD,FULL WIDTH,,,생략
전폭약,BSTR,BOOSTER,BOOSTER,,생략
전표,SLIP,SLIP,회계전표,,생략
전표번호,ACCDOCNO,ACCOUNT DOCUMENT NUMBER,,분류어,생략
전표요청번호,SLPRQSTNO,SLIP REQUEST NUMBER,,분류어,생략
전피,GNSL,GOAT AND SHEEP LEATHER,,,생략
전혈,WHLBLD,WHOLE BLOOD,,,생략
전혈능력,WHBLDABT,WHOLE BLOOD ABILITY,,,생략
전형,SCRNG,SCREENING,,,생략
전형일자,SCRDT,SCREENING DATE,전형일,,생략
전호,PRENUM,PRECEDING NUMBER,,,생략
전화,TEL,TELEPHONE,TEL,,생략
전화국,TELOFC,TELEPHONE OFFICE,,,생략
전화기,PHONE,PHONE,,,생략
전화번호,TELNO,TELEPHONE NUMBER,,분류어,생략
전화번호부,TELBOOK,TELEPHONE BOOK,,,생략
전환,CNVSN,CONVERSION,,,생략
전환사채,CBLBD,CONVERTIBLE BOND,,,생략
전환수송,TTRS,TRANSFER TRANSPORTATION,,,생략
전환일자,CVSNDT,CONVERSION DATE,전환일,,생략
전환전,BFCNV,BEFORE CONVERSION,,,생략
전환주식,CVTK,CONVERTIBLE STOCK,,,생략
전환후,AFCNV,AFTER CONVERSION,,,생략
전회,LASTTM,LAST TIME,,,생략
전후,FNR,FRONT AND REAR,,,생략
전후반기,FNSHFYR,FIRST AND SECOND HALF YEAR,상하반기,,생략
절,PRGRP,PARAGRAPH,,,생략
절감,REDU,REDUCTION,,,생략
절개,INCSN,INCISION,,,생략
절기,SBSN,THE SUBDIVISIONS OF THE SEASONS,,,생략
절단,SVRNC,SEVERANCE,,,생략
절단기,CUTTR,CUTTERS ,,,생략
절대,ABSLT,ABSOLUTELY,,,생략
절대오차,ABSERR,ABSOLUTE ERROR,,,생략
절도,THEFT,THEFT,,,생략
절사,TRCTN,TRUNCATION,단전,,생략
절삭가공,CUTPRC,CUTTING PROCESS,,,생략
절약,FRGLT,FRUGALITY,,,생략
절연,INSLTN,INSULATION,,,생략
절연판,ISLBD,INSULATING BOARD,,,생략
절전,PSE,POWER SAVE,,,생략
절주,MODRINK,MODERATION IN DRINKING,,,생략
절차,PRCDR,PROCEDURE,,,생략
절차서,PDOC,PROCEDURES DOCUMENT,,,생략
절충,CMPS,COMPROMISE,,,생략
절충교역,OFST,OFFSET,,,생략
절충교역계약서,OFSCTR,OFFSET CONTRACT,,,생략
절충교역비율,OFSRT,OFFSET RATE,,,생략
절충교역양해각서,OMOU,OFFSET MEMORANDUM OF UNDERSTANDING,,,생략
절충교역자산,OFSAST,OFFSET ASSETS,,,생략
절충교역제안서,OFSPRPS,OFFSET PROPOSAL,,,생략
절충교역평가,OFSEVL,OFFSET EVALUATION,,,생략
절충교역협상대안,OFSRQM,OFFSET REQUIREMENTS,,,생략
절편,INTC,INTERCEPT,,,생략
점,PNT,POINT,,,생략
점검,CHECK,CHECK,"체크,CHECK",,생략
점검번호,CHKNO,CHECK NUMBER,,분류어,생략
점검분야번호,CHKSPHNO,CHECK SPHERE NUMBER,,,생략
점검일자,CHKDT,CHECK DATE,점검일,,생략
점검종류코드,CKCD,CHECK KIND CODE,,분류어,생략
점검표,CHKTB,CHECK TABLE,,,생략
점령,OCPTN,OCCUPATION,,,생략
점멸,BLK,BLINKING,,,생략
점선,DOTLN,DOTTED LINE,,,생략
점성,VSCST,VISCOSITY,,,생략
점수,SCR,SCORE,,분류어,생략
점수표,SCRBRD,SCORE BOARD,,,생략
점용인,OCCPR,OCCUPIER,,,생략
점유,OCCPTN,OCCUPATION,,,생략
점유권,PSESRT,RIGHT OF POSSESSION,,,생략
점유율,OCPRT,OCCUPATION RATE,,,생략
점유일자,OCPDT,OCCUPATION DATE,점유일,,생략
점유자,OCPT,OCCUPANT,,,생략
점자,BRLL,BRAILLE,,,생략
점진적,PRGRSS,PROGRESSIVE,,,생략
점퍼,JUMPER,JUMPER,,,생략
점화,IGNITN,IGNITION,,,생략
점화기,LGHTR,LIGHTER,,,생략
점화약통,IQUTCTG,IGNITION CARTRIDGE,,,생략
접견,ADNC,AUDIENCE,,,생략
접골사,BNSTR,BONESETTER,,,생략
접근,ACES,ACCESS,,,생략
접근권한구분코드,ACATCLCD,ACCESS AUTHORITY CLASSIFICATION CODE,,분류어,생략
접근로,AAG,APPROACH LANES,,,생략
접근일자,ACSDT,ACCESS DATE,접근일,,생략
접근자,ACSPS,ACCESS PERSON,,,생략
접근제어목록,ACLST,ACCESS CONTROL LIST,,,생략
접대,RECEPTN,RECEPTION,,,생략
접대비,RCPXPNS,RECEIPTION EXPENSE,,,생략
접대자,ENTRTL,ENTERTAIL,,,생략
접두어,PRFX,PREFIX,,,생략
접미,SFX,SUFFIX,SUFFIX,,생략
접미번호,SUFNO,SUFFIX NUMBER,접미부호,분류어,생략
접미코드,SX,SUFFIX CODE,,분류어,생략
접속,CNNTN,CONNECTION,,,생략
접속일자,CNTDT,CONNECTING DATE,접속일,,생략
접수,RCP,RECEIPT,,,생략
접수구분코드,RCPDVCD,RECEIPT DIVISION CODE,,분류어,생략
접수내역출력,RPPRT,RECEIPT PARTICULARS PRINT,,,생략
접수대,RCPCNTR,RECEPTION COUNTER,,,생략
접수번호,RCPTNO,RECEIPT NUMBER,,분류어,생략
접수일자,RCPDT,RECEIPT DATE,접수일,,생략
접수자,RCPTN,RECEPTIONIST,,,생략
접수제한시간,RRSTTM,RECEIPT RESTRICTION TIME,,,생략
접수증,RCPD,RECEIPT DOCUMENT,,,생략
접수처,INFOFC,INFORMATION OFFICE,,,생략
접안,TCDN,TOUCH DOWN,,,생략
접안능력,TDABLT,TOUCH DOWN ABILITY,,,생략
접적,CTCT,CONTACT,,,생략
접적지역,CNTAR,CONTACT AREA,,,생략
접절식,FLDG,FOLDING,,,생략
접점,PNTCT,POINT OF CONTACT,,,생략
접종,INOCL,INOCULATION ,,,생략
접지,EARTH,EARTH,,,생략
접촉,CNTCT,CONTACT,,,생략
접촉선,LC,LINE OF CONTACT,LC,,생략
접촉일자,CNTCDT,CONTACT DATE,접촉일,,생략
접촉지점,CTCTPNT,CONTACT POINT,,,생략
접합,JN,JOINING,,,생략
정가,NETPRC,NET PRICE,,,생략
정관,ATCSC,ARTICLES OF ASSOCIATION,,,생략
정규,FRL,FIXED RULE,,,생략
정규군,RGLRARM,REGULAR ARMY,,,생략
정규분포,NORDSTB,NORMAL DISTRIBUTION,,,생략
정규직,PMNTPST,PERMANENT POSITION,,,생략
정규표현,REGEXP,REGULA EXPRESSION,,,생략
정규화,NRMZTN,NORMALIZATION,,,생략
정근,DLGN,DILIGENCE,,,생략
정근수당,DLGALW,DILIGENCE ALLOWANCE,,,생략
정글짐,JGGM,JUNGLE GYM,,,생략
정기,FXPRD,FIXED PERIOD,,,생략
정기검사,PI,PERIODIC INSPECTION,,,생략
정기군수품조사,CYCIVT,CYCLE INVENTORY,,,생략
정기권,CMMTKT,COMMUTATION TICKET,,,생략
정기금채권,CMMBR,CLAIM FOR MONEY PAYABLE PERIODICALLY,,,생략
정기배정,RGLAPT,REGULAR APPORTIONMENT,,,생략
정기선,LINER,LINER,,,생략
정기정보보고유형코드,FPINFRPTTYCD,FIXED PERIOD INFORMATION REPORT TYPE CODE,,분류어,생략
정년,RTMAGE,RETIREMENT AGE,,,생략
정년단축,RTMGSRT,RETIREMENT AGE SHORT,,,생략
정년전역,RATRSF,RETIREMENT AGE TRANSFER,,,생략
정담,FRNDTLK,FRIENDLY TALK,,,생략
정답,CRAS,CORRECT ANSWER,,,생략
정답번호,CRASNO,CORRECT ANSWER NUMBER,,분류어,생략
정당,PLTCPT,POLITICAL PARTY,당,,생략
정당,RTFLN,RIGHTFULNESS,,,생략
정당선거사무소,PPEOFC,POLITICAL PARTY ELECTION OFFICE,,,생략
정당성,JSTNS,JUSTNESS,,,생략
정대,CRSC,CRAFT SECTION,,,생략
정도,DGR,DEGREE,,,생략
정량,FDQNT,FIXED QUANTITY,,,생략
정량지표,QYEVAL,QUANTITATIVE EVALUATION,,,생략
정렬,STLN,STANDING IN LINE,소팅,,생략
정렬번호,SILNO,STANDING IN LINE NUMBER,,분류어,생략
